slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
place-value-grade-5,Place Value,5th,5.NBT.A.1,5.NBT.A.1,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,The value of a digit based on its position in a number.,"In 3,425.16, the 4 is in the hundreds place, worth 400.","In 3,425.16, the 1 is in the tenths place, worth 0.1.",Each place is ten times the value of the place to its right.,"Same digit, different value — it's all about position.",standard-form-grade-5; expanded-form-grade-5; word-form-grade-5; decimal-grade-5,DONE (OCR from card),nbt5_placevalue.png
powers-of-ten-grade-5,Powers of Ten,5th,5.NBT.A.2,5.NBT.A.2,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,A power of ten is 10 multiplied by itself; the exponent tells how many zeros follow the 1.,"10 cubed = 10 x 10 x 10 = 1,000.","10 squared = 100, which has 2 zeros.",The exponent on 10 equals the number of zeros in the result.,The exponent counts the zeros.,place-value-grade-5; standard-form-grade-5; expanded-form-grade-5,DONE (OCR from card),nbt5_powersoften.png
standard-form-grade-5,Standard Form,5th,5.NBT.A.3a,5.NBT.A.3a,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,"A number written with digits in the usual way, such as 4,302.5.","Four thousand, three hundred two and five tenths written in standard form is 4,302.5.",400 + 30 + 2 + 0.5 written in standard form is 432.5.,"Standard form uses digits and place value, not words or expanded sums.",The 'normal' way to write a number.,word-form-grade-5; expanded-form-grade-5; place-value-grade-5,DONE (OCR from card),nbt5_standardform.png
word-form-grade-5,Word Form,5th,5.NBT.A.3a,5.NBT.A.3a,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,A number written out using words instead of digits.,"4,302.5 in word form is 'four thousand, three hundred two and five tenths.'",18.6 in word form is 'eighteen and six tenths.',The decimal point is read as 'and.',"Say it, don't write the digits.",standard-form-grade-5; expanded-form-grade-5; decimal-grade-5,DONE (OCR from card),nbt5_wordform.png
expanded-form-grade-5,Expanded Form,5th,5.NBT.A.3a,5.NBT.A.3a,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,A number written as the sum of the values of its digits.,342.5 = 300 + 40 + 2 + 0.5.,"1,809 = 1,000 + 800 + 0 + 9.",Each addend shows one digit's true place value.,"Break the number apart, place by place.",standard-form-grade-5; place-value-grade-5; word-form-grade-5,DONE (OCR from card),nbt5_expandedform.png
decimal-grade-5,Decimal,5th,5.NBT.A.3a,5.NBT.A.3a,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,"A number with a decimal point that shows parts of a whole, such as tenths and hundredths.",2.75 is a decimal made of 2 wholes and 75 hundredths.,0.4 is a decimal equal to 4 tenths.,The decimal point separates whole numbers from parts of a whole.,The dot splits whole from part.,tenths-grade-5; hundredths-grade-5; thousandths-grade-5; place-value-grade-5,DONE (OCR from card),nbt5_decimal.png
tenths-grade-5,Tenths,5th,5.NBT.A.3a,5.NBT.A.3a,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,"The place value just after the decimal point, showing parts out of ten.","0.3 means 3 tenths, or 3 out of 10 equal parts.","In 5.7, the 7 is in the tenths place.",The tenths place is the first digit to the right of the decimal point.,First spot after the dot — out of ten.,hundredths-grade-5; thousandths-grade-5; decimal-grade-5; place-value-grade-5,DONE (OCR from card),nbt5_tenths.png
hundredths-grade-5,Hundredths,5th,5.NBT.A.3a,5.NBT.A.3a,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,"The place value two spots after the decimal point, showing parts out of one hundred.","0.25 means 25 hundredths, or 25 out of 100 equal parts.","In 3.68, the 8 is in the hundredths place.",The hundredths place is the second digit to the right of the decimal point.,Two spots after the dot — out of a hundred.,tenths-grade-5; thousandths-grade-5; decimal-grade-5,DONE (OCR from card),nbt5_hundredths.png
thousandths-grade-5,Thousandths,5th,5.NBT.A.3a,5.NBT.A.3a,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,"The place value three spots after the decimal point, showing parts out of one thousand.","In 0.418, the 8 is in the thousandths place, worth 8 parts out of 1,000.",0.005 means 5 thousandths.,The thousandths place is the third digit to the right of the decimal point.,Three spots after the dot — out of a thousand.,hundredths-grade-5; tenths-grade-5; decimal-grade-5,DONE (OCR from card),nbt5_thousandths.png
compare-decimals-grade-5,Compare Decimals,5th,5.NBT.A.3b,5.NBT.A.3b,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,To decide which decimal is greater or less by comparing place values from left to right.,0.07 is greater than 0.02 because 7 hundredths is more than 2 hundredths.,0.5 is greater than 0.48 because 5 tenths beats 4 tenths.,"Line up the decimal points, then compare matching places left to right.","Line up the dots, then race left to right.",decimal-grade-5; round-decimals-grade-5; place-value-grade-5,DONE (OCR from card),nbt5_comparedecimals.png
round-decimals-grade-5,Round Decimals,5th,5.NBT.A.4,5.NBT.A.4,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,To replace a decimal with a nearby simpler value based on the digit to the right of the rounding place.,"3.46 rounds to 3.5 (nearest tenth), since the 6 rounds the 4 up.","7.23 rounds to 7.2 (nearest tenth), since the 3 stays down.",Look at the digit to the right of the rounding place: 5 or more rounds up.,"Five or above, give it a shove; four or below, let it go.",compare-decimals-grade-5; decimal-grade-5; place-value-grade-5,DONE (OCR from card),nbt5_rounddecimals.png
multiply-whole-numbers-grade-5,Multiply Whole Numbers,5th,5.NBT.B.5,5.NBT.B.5,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,To find the product of multi-digit numbers using place value and partial products.,"24 x 13 = 312, using the standard algorithm or an area model.","The area model breaks 24 x 13 into 20x10, 20x3, 4x10, and 4x3, then adds the parts.","Multiply multi-digit numbers using the standard algorithm or an area model, then add partial products.","Break it into parts, then add the parts back together.",product-grade-5; multiply-decimals-grade-5; area-model-grade-5,DONE (OCR from card),nbt5_multiplywholenumbers.png
division-grade-5,Division,5th,5.NBT.B.6,5.NBT.B.6,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,Splitting a number into equal groups to find how many are in each group or how many groups there are.,"156 divided by 12 = 13, using long division with a two-digit divisor.",84 divided by 12 = 7.,"Use long division with two-digit divisors, one step at a time.","Divide, multiply, subtract, bring down — repeat.",quotient-grade-5; remainder-grade-5; multiply-whole-numbers-grade-5,DONE (OCR from card),nbt5_divide.png
add-subtract-decimals-grade-5,Add & Subtract Decimals,5th,5.NBT.B.7,5.NBT.B.7,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,To combine or take away decimals by lining up the decimal points and place values.,3.25 + 1.40 = 4.65.,5.80 - 2.35 = 3.45.,Line up the decimal points so each place value matches before adding or subtracting.,Line up the dots before you add or take away.,multiply-decimals-grade-5; decimal-grade-5; compare-decimals-grade-5,DONE (OCR from card),nbt5_adddecimals.png
multiply-decimals-grade-5,Multiply Decimals,5th,5.NBT.B.7,5.NBT.B.7,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,"To find the product by multiplying digits as whole numbers, then placing the decimal by counting decimal places.",0.4 x 0.3 = 0.12 (1 + 1 = 2 decimal places).,1.2 x 0.5 = 0.60.,"Multiply as whole numbers, then count the total decimal places for the product.","Multiply first, place the decimal last.",add-subtract-decimals-grade-5; decimal-grade-5; multiply-whole-numbers-grade-5,DONE (OCR from card),nbt5_multiplydecimals.png
product-grade-5,Product,5th,5.NBT.B.5,5.NBT.B.5,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,The answer to a multiplication problem.,"In 6 x 7 = 42, the product is 42.","In 8 x 5 = 40, the product is 40.","The product is always the result, never one of the factors being multiplied.","Multiply, and the answer is the product.",multiply-whole-numbers-grade-5; quotient-grade-5; multiply-decimals-grade-5,DONE (OCR from card),nbt5_product.png
quotient-grade-5,Quotient,5th,5.NBT.B.6,5.NBT.B.6,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,The answer to a division problem.,42 divided by 6 = 7; the quotient is 7.,63 divided by 9 = 7; the quotient is 7.,The quotient is the result of dividing one number by another.,"Divide, and the answer is the quotient.",division-grade-5; remainder-grade-5; product-grade-5,DONE (OCR from card),nbt5_quotient.png
remainder-grade-5,Remainder,5th,5.NBT.B.6,5.NBT.B.6,Number & Operations in Base Ten,Number & Operations in Base Ten,NO,The amount left over after dividing when the division is not exact.,17 divided by 5 = 3 remainder 2.,23 divided by 4 = 5 remainder 3.,The remainder is always smaller than the divisor.,What's left over when the groups don't divide evenly.,division-grade-5; quotient-grade-5; product-grade-5,DONE (OCR from card),nbt5_remainder.png
order-of-operations-grade-5,Order of Operations,5th,5.OA.A.1,5.OA.A.1,Operations & Algebraic Thinking,Operations & Algebraic Thinking,NO,"The agreed order for solving an expression: grouping symbols first, then multiply/divide, then add/subtract, left to right.",2 + 3 x 4 = 2 + 12 = 14 (multiply before adding).,(2 + 3) x 4 = 5 x 4 = 20 (parentheses first).,"Do grouping symbols first, then multiply/divide, then add/subtract, left to right.","Grouping symbols, then multiply/divide, then add/subtract.",parentheses-grade-5; brackets-grade-5; evaluate-grade-5,DONE (OCR from card),oa5_orderofoperations.png
parentheses-grade-5,Parentheses,5th,5.OA.A.1,5.OA.A.1,Operations & Algebraic Thinking,Operations & Algebraic Thinking,NO,Grouping symbols ( ) that show which part of an expression to calculate first.,"(2 + 3) x 4 = 20, since the parentheses are done first.","2 + (3 x 4) = 14, since multiplication inside the parentheses comes first.",Always do the operation inside parentheses first.,"Parentheses go first, no matter what.",brackets-grade-5; order-of-operations-grade-5; evaluate-grade-5,DONE (OCR from card),oa5_parentheses.png
brackets-grade-5,Brackets,5th,5.OA.A.1,5.OA.A.1,Operations & Algebraic Thinking,Operations & Algebraic Thinking,NO,"Grouping symbols [ ] used to group expressions, often around parentheses.",2 x [(3 + 4) x 5] = 2 x [7 x 5] = 2 x 35 = 70.,[10 - (2 + 3)] x 2 = [10 - 5] x 2 = 10.,Work from the innermost group outward.,Brackets hug the parentheses — work inside out.,parentheses-grade-5; order-of-operations-grade-5; evaluate-grade-5,DONE (OCR from card),oa5_brackets.png
numerical-expression-grade-5,Numerical Expression,5th,5.OA.A.2,5.OA.A.2,Operations & Algebraic Thinking,Operations & Algebraic Thinking,NO,A combination of numbers and operation symbols without an equals sign.,3 x (5 + 2) is a numerical expression.,18 - 4 + 6 is a numerical expression.,"An expression has no equals sign — it doesn't state a value, it represents one.","No equals sign, just numbers and operations.",evaluate-grade-5; order-of-operations-grade-5; parentheses-grade-5,DONE (OCR from card),oa5_numericalexpression.png
evaluate-grade-5,Evaluate,5th,5.OA.A.1,5.OA.A.1,Operations & Algebraic Thinking,Operations & Algebraic Thinking,NO,To find the value of an expression by carrying out its operations in order.,"Evaluate 4 x (6 - 2): first 6 - 2 = 4, then 4 x 4 = 16.","Evaluate 20 divided by (2 + 3): first 2 + 3 = 5, then 20 divided by 5 = 4.","Follow the order of operations, then write the final value.","Work it out, step by step, to one final value.",numerical-expression-grade-5; order-of-operations-grade-5; parentheses-grade-5,DONE (OCR from card),oa5_evaluate.png
numerical-pattern-grade-5,Numerical Pattern,5th,5.OA.B.3,5.OA.B.3,Operations & Algebraic Thinking,Operations & Algebraic Thinking,NO,A sequence of numbers created by following a rule.,"0, 3, 6, 9, 12, ... follows the rule 'add 3.'","1, 2, 4, 8, 16, ... follows the rule 'multiply by 2.'",Every term in the sequence comes from applying the same rule to the term before it.,"Same rule, every single time.",rule-grade-5; coordinate-pattern-pairs-grade-5; numerical-expression-grade-5,DONE (OCR from card),oa5_numericalpattern.png
rule-grade-5,Rule,5th,5.OA.B.3,5.OA.B.3,Operations & Algebraic Thinking,Operations & Algebraic Thinking,NO,The operation or pattern that tells how each term in a sequence is found.,"The rule for 2, 4, 6, 8 is 'add 2.'","The rule for 5, 10, 20, 40 is 'multiply by 2.'",The rule tells how the pattern changes from one term to the next.,The rule is the pattern's instructions.,numerical-pattern-grade-5; coordinate-pattern-pairs-grade-5,DONE (OCR from card),oa5_rule.png
