slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
consecutive-integers-grade-8,Consecutive Integers,8th,8.NS.A.2,8.NS.A.2,The Number System,The Number System,,"Whole numbers that follow each other in order, each one greater than the previous. Used to locate irrational numbers between two whole-number bounds.","5, 6, 7 or 11, 12, 13 are consecutive integers.","The square root of 20 falls between consecutive integers 4 and 5, since 4²=16 and 5²=25.","To trap an irrational root, find the two perfect squares it falls between, then take their roots.","Whole numbers, one after another.",irrational-number-grade-8; perfect-square-grade-8; rational-approximation-grade-8; rational-number-grade-8,DONE (OCR from card),ns8_consecutiveintegers
irrational-number-grade-8,Irrational Number,8th,8.NS.A.1,8.NS.A.1,The Number System,The Number System,,A number whose decimal form never terminates and never repeats. It cannot be written as a fraction of two integers.,Pi = 3.14159265... — the digits never repeat.,"Square roots of non-perfect-squares are irrational, like √2, √3, √5.",Rational decimals stop or repeat; irrational decimals never do either.,"Never ends, never repeats, never a fraction.",consecutive-integers-grade-8; perfect-square-grade-8; rational-approximation-grade-8; rational-number-grade-8,DONE (OCR from card),ns8_irrationalnumber
perfect-square-grade-8,Perfect Square,8th,8.EE.A.2,8.EE.A.2; 8.NS.A.2,The Number System,Expressions & Equations; The Number System,YES,A number that equals an integer multiplied by itself. The square root of a perfect square is a whole number.,16 is a perfect square because 4×4=16.,"20 is NOT a perfect square — √20 ≈ 4.47, irrational.",The square root of a perfect square is always a whole number.,A whole number times itself.,consecutive-integers-grade-8; irrational-number-grade-8; rational-approximation-grade-8; rational-number-grade-8,DONE (OCR from card),ns8_perfectsquare; ee8_perfectsquare
rational-approximation-grade-8,Rational Approximation,8th,8.NS.A.2,8.NS.A.2,The Number System,The Number System,,A rational number (fraction or decimal) used to estimate an irrational number. Found by squeezing the value between closer and closer rational bounds.,"√2 is between 1 and 2, then between 1.4 and 1.5, narrowing to about 1.41.","Square the guess, compare to the target, then narrow the range one decimal place at a time.",Squeeze the irrational number between closer and closer rational bounds.,Get closer and closer with decimals.,consecutive-integers-grade-8; irrational-number-grade-8; perfect-square-grade-8; rational-number-grade-8,DONE (OCR from card),ns8_rationalapprox
rational-number-grade-8,Rational Number,8th,8.EE.C.7b,8.EE.C.7b; 8.NS.A.1,The Number System,Expressions & Equations; The Number System,YES,"Any number that can be written as a ratio p/q of two integers, where q is not zero. Includes integers, fractions, and terminating or repeating decimals.","3/4, -5/8, and 2/3 are all rational.",0.25 = 1/4 and 0.333... = 1/3 are also rational.,"If it can be written as p/q, it's rational — this includes repeating and terminating decimals.",Any fraction of two integers.,consecutive-integers-grade-8; irrational-number-grade-8; perfect-square-grade-8; rational-approximation-grade-8,DONE (OCR from card),ns8_rationalnumber; ee8_rationalnumber
repeating-decimal-grade-8,Repeating Decimal,8th,8.NS.A.1,8.NS.A.1,The Number System,The Number System,,A decimal in which a digit or block of digits repeats infinitely. Shown with a bar over the repeating part. Repeating decimals are rational numbers.,0.333... is written 0.3 with a bar — the 3 repeats.,0.142857142857... has a 6-digit repeating block.,Both terminating and repeating decimals are rational.,The bar shows what repeats forever.,consecutive-integers-grade-8; irrational-number-grade-8; perfect-square-grade-8; rational-approximation-grade-8,DONE (OCR from card),ns8_repeatingdecimal
terminating-decimal-grade-8,Terminating Decimal,8th,8.NS.A.1,8.NS.A.1,The Number System,The Number System,,A decimal that ends after a finite number of digits. A fraction terminates when its denominator (in lowest terms) has only 2s and 5s as prime factors.,"1 ÷ 4 = 0.25, stopping after 2 places.","1/3 = 0.333... never stops, since 3 isn't a factor of 2 or 5.",Check the denominator's prime factors — only 2s and 5s mean it terminates.,"It stops, because the denominator only has 2s and 5s.",consecutive-integers-grade-8; irrational-number-grade-8; perfect-square-grade-8; rational-approximation-grade-8,DONE (OCR from card),ns8_terminatingdecimal
decreasing-grade-8,Decreasing,8th,8.F.B.5,8.F.B.5,Functions,Functions,,"Describes a portion of a graph where the output falls as the input increases, reading from left to right. A negative slope indicates a decreasing line.","As x goes right, y goes down.",Negative slope means decreasing.,A decreasing function's graph falls as you read left to right.,Line goes down to the right.,function-grade-8; increasing-grade-8; initial-value-grade-8; input-grade-8,DONE (OCR from card),f8_decreasing
function-grade-8,Function,8th,8.F.A.1,8.F.A.1,Functions,Functions,,A rule that assigns to each input exactly one output. No input may produce more than one output.,"f(x) = 2x + 1: input x=3 gives exactly one output, 7.",An input pointing to two different outputs is NOT a function.,Every input must map to exactly one output for it to be a function.,"One input, one output — always.",decreasing-grade-8; increasing-grade-8; initial-value-grade-8; input-grade-8,DONE (OCR from card),f8_function
increasing-grade-8,Increasing,8th,8.F.B.5,8.F.B.5,Functions,Functions,,"Describes a portion of a graph where the output rises as the input increases, reading from left to right. A positive slope indicates an increasing line.","As x goes right, y goes up.",Positive slope means increasing.,An increasing function's graph rises as you read left to right.,Line goes up to the right.,decreasing-grade-8; function-grade-8; initial-value-grade-8; input-grade-8,DONE (OCR from card),f8_increasing
initial-value-grade-8,Initial Value,8th,8.F.A.2,8.F.A.2,Functions,Functions,,"The output of a function when the input is zero, representing the starting amount. It equals the y-intercept of a linear function.","In f(x) = 10x + 20, the initial value is 20 (the cost before any months).","It's the same as the y-value when x = 0 in a table, or the y-intercept on a graph.","The initial value is the same as the y-intercept, b.","What you start with, before anything changes.",decreasing-grade-8; function-grade-8; increasing-grade-8; input-grade-8,DONE (OCR from card),f8_initialvalue
input-grade-8,Input,8th,8.F.A.1,8.F.A.1,Functions,Functions,,"The value supplied to a function, usually the x-value or independent variable. It is the number placed into the function rule.","In f(4), the 4 is the input.","In a table, the x-column holds the inputs.",The input is the value you choose and feed into the function.,What you put in — the x-value.,decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_input
linear-function-grade-8,Linear Function,8th,8.F.A.3,8.F.A.3,Functions,Functions,,A function whose graph is a straight line and whose rate of change is constant. It can be written in the form y equals m x plus b.,"Equal steps in x (+2, +2, +2) produce a straight line.",f(x) = mx + b is the standard form of a linear function.,A linear function has a constant slope and a straight-line graph.,"Straight line, steady rate of change.",decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_linearfunction
nonlinear-grade-8,Nonlinear,8th,8.F.B.5,8.F.B.5,Functions,Functions,,Describes a function whose graph is not a straight line and whose rate of change is not constant. The differences between successive outputs are unequal.,"Differences of +3, +5, +7 are unequal, showing a nonlinear pattern.",A curved graph is nonlinear.,Unequal differences in a table signal a nonlinear function.,"Curved graph, changing rate.",decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_nonlinear
output-grade-8,Output,8th,8.F.A.1,8.F.A.1,Functions,Functions,,"The result a function produces, usually the y-value or dependent variable. It is the number that comes out after applying the function rule.",f(4) = 9 means the output is 9.,"In a table, the y-column holds the outputs.",The output is the result after the function rule is applied.,What comes out — the y-value.,decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_output
rate-of-change-grade-8,Rate of Change,8th,8.F.A.2,8.F.A.2,Functions,Functions,,"How much the output quantity changes per unit change in the input, found as change in y divided by change in x. For a line it equals the slope.",A plant grows 3 cm per week — rate of change = 3 cm/week.,Rate of change = change in y ÷ change in x.,"For a linear function, rate of change is constant and equals the slope.",How much y changes for each step in x.,decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_rateofchange
