slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
complex-fraction-grade-7,Complex Fraction,7th,7.NS.A.2c,7.NS.A.2c,Ratios & Proportional Relationships,Ratios & Proportional Relationships; The Number System,YES,"A fraction whose numerator or denominator (or both) contains a fraction. Simplify by dividing — use KCF: keep the top fraction, change to multiplication, flip the bottom fraction.",(1/2) ÷ (3/4) = 1/2 × 4/3 = 4/6 = 2/3.,(5/6) / (10/3) = 5/6 × 3/10 = 15/60 = 1/4.,The main fraction bar always means divide the top fraction by the bottom fraction.,Fraction over a fraction = divide.,constant-of-proportionality-grade-7; origin-grade-7; percent-grade-7; percent-change-grade-7,DONE (OCR from card),rp7_complexfraction; ns7_complexfraction
constant-of-proportionality-grade-7,Constant of Proportionality,7th,7.RP.A.2,7.RP.A.2,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"The constant ratio (k) between two proportional quantities, where y = kx.",Table where y = 3x → k = 3,6 apples cost $12 → k = 2 ($ per apple),Find k by dividing y ÷ x for any matching pair.,"k = y ÷ x, every single time.",complex-fraction-grade-7; origin-grade-7; percent-grade-7; percent-change-grade-7,DONE (verified from card),rp7_constantofproportionality
origin-grade-7,Origin,7th,7.RP.A.2,7.RP.A.2,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"The point (0,0) on the coordinate plane where the x- and y-axes meet.","A proportional graph always passes through (0,0)",Start counting from the origin,Every proportional relationship passes through the origin.,"(0,0) — where both axes cross.",complex-fraction-grade-7; constant-of-proportionality-grade-7; percent-grade-7; percent-change-grade-7,DONE (verified from card),rp7_origin
percent-grade-7,Percent,7th,7.NS.A.2d,7.NS.A.2d,Ratios & Proportional Relationships,Ratios & Proportional Relationships; The Number System,YES,"A ratio comparing a quantity to 100 ('per hundred'). A rational number can be written as a fraction, decimal, or percent — all three are equivalent forms.",3/4 = 0.75 = 75%.,70% = 70/100 = 0.70.,Percent is just a fraction with a denominator of 100.,Per cent = per hundred.,complex-fraction-grade-7; constant-of-proportionality-grade-7; origin-grade-7; percent-change-grade-7,DONE (OCR from card),rp7_percent; ns7_percent
percent-change-grade-7,Percent Change,7th,7.RP.A.3,7.RP.A.3,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"How much a quantity increases or decreases, as a percent of the original amount.",20 → 25 is a +25% change,80 → 60 is a −25% change,(new − old) ÷ old × 100. Divide by the ORIGINAL.,"Difference over the original, then times 100.",complex-fraction-grade-7; constant-of-proportionality-grade-7; origin-grade-7; percent-grade-7,DONE (verified from card),rp7_percentchange
percent-decrease-grade-7,Percent Decrease,7th,7.RP.A.3,7.RP.A.3,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,A percent change where the amount goes down from the original.,50 → 40 is a 20% decrease,$80 marked down $20 → 25% decrease,(decrease ÷ original) × 100.,Went down — decrease over original.,complex-fraction-grade-7; constant-of-proportionality-grade-7; origin-grade-7; percent-grade-7,DONE (verified from card),rp7_percentdecrease
percent-increase-grade-7,Percent Increase,7th,7.RP.A.3,7.RP.A.3,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,A percent change where the amount goes up from the original.,40 → 50 is a 25% increase,Price rises $10 on $50 → 20% increase,(increase ÷ original) × 100.,Went up — increase over original.,complex-fraction-grade-7; constant-of-proportionality-grade-7; origin-grade-7; percent-grade-7,DONE (verified from card),rp7_percentincrease
proportional-relationship-grade-7,Proportional Relationship,7th,7.RP.A.2,7.RP.A.2,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"A relationship between two quantities with a constant ratio, written y = kx.","y = 3x forms a straight line through (0,0)",Doubling x doubles y,Its graph is a straight line through the origin.,"Straight line, through the origin, constant ratio.",complex-fraction-grade-7; constant-of-proportionality-grade-7; origin-grade-7; percent-grade-7,DONE (verified from card),rp7_proportionalrelationship
rate-grade-7,Rate,7th,7.RP.A.1,7.RP.A.1,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,A ratio that compares two quantities measured in different units.,120 miles in 2 hours,$8 for 4 cans,"A rate keeps its units (miles per hour, dollars per can).","Two different units, compared.",complex-fraction-grade-7; constant-of-proportionality-grade-7; origin-grade-7; percent-grade-7,DONE (verified from card),rp7_rate
reciprocal-grade-7,Reciprocal,7th,7.NS.A.2c,7.NS.A.2c,Ratios & Proportional Relationships,Ratios & Proportional Relationships; The Number System,YES,"The multiplicative inverse of a number, found by flipping numerator and denominator. Any number (except 0) times its reciprocal equals 1.","The reciprocal of 3/4 is 4/3, and 3/4 × 4/3 = 1.","To divide fractions, multiply by the reciprocal: 3/4 ÷ 2/5 = 3/4 × 5/2.",A number times its reciprocal always equals 1.,Flip it to get the reciprocal.,complex-fraction-grade-7; constant-of-proportionality-grade-7; origin-grade-7; percent-grade-7,DONE (OCR from card),rp7_reciprocal; ns7_reciprocal
unit-rate-grade-7,Unit Rate,7th,7.RP.A.1,7.RP.A.1,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,A rate that compares a quantity to exactly one unit of another (a denominator of 1).,$6 for 2 lb → $3 per 1 lb,150 miles in 3 hours → 50 miles per 1 hour,"Divide the two quantities to get the amount ""per 1.""","""Per one"" — always land on a denominator of 1.",complex-fraction-grade-7; constant-of-proportionality-grade-7; origin-grade-7; percent-grade-7,DONE (verified from card),rp7_unitrate
absolute-value-grade-7,Absolute Value,7th,7.NS.A.1a,7.NS.A.1a,The Number System,The Number System,,"The distance a number is from 0 on a number line, written |n|. It is always non-negative.","|-7| = 7, because -7 is 7 units from zero.","|-15| = 15, |0| = 0, and |-8.5| = 8.5.",Absolute value is ALWAYS positive or zero — never negative.,The bars mean distance from zero.,additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7; distance-grade-7,DONE (OCR from card),ns7_absolutevalue
additive-inverse-grade-7,Additive Inverse,7th,7.NS.A.1a,7.NS.A.1a,The Number System,The Number System,,The opposite of a number. A number and its additive inverse always sum to zero; the additive inverse of n is -n.,7 + (-7) = 0.,5 + (-5) = 0 and -3 + 3 = 0.,A number plus its additive inverse always equals 0.,Flip the sign and they cancel to zero.,absolute-value-grade-7; common-denominator-grade-7; difference-grade-7; distance-grade-7,DONE (OCR from card),ns7_additiveinverse
